time(ms), aX , aY, aZ, , gX, gY, GZ, mX, mY, mZ, q0, q1, q2, q3
94, 0.000977,0.003906,0.999023, -0.488281,0.244141,0.793457, -2.400600,5.401350,-36.159039, 0.999977,0.006646,0.001062,0.000653
194, 0.004395,-0.016602,0.991699, -0.610352,0.183105,0.671387, -1.500375,3.900975,-37.059265, 0.999983,0.005609,0.001248,0.001288
295, 0.003418,0.002930,1.018066, -0.549316,0.244141,0.732422, -0.600150,5.101275,-36.159039, 0.999987,0.004415,0.001440,0.001888
395, 0.000488,-0.001953,1.007324, -0.549316,0.244141,0.732422, -2.100525,4.801200,-37.209301, 0.999989,0.003702,0.001620,0.002467
495, -0.007813,-0.011230,1.005371, -0.671387,0.122070,0.549316, -0.450113,5.251313,-37.359341, 0.999990,0.002790,0.001697,0.003038
595, -0.000977,0.000488,1.004395, -0.671387,0.366211,0.793457, -1.200300,3.450863,-38.409603, 0.999990,0.001899,0.001875,0.003649
695, -0.003418,-0.009766,1.008301, -0.610352,0.244141,0.732422, -1.350338,6.151538,-35.108776, 0.999988,0.001344,0.001940,0.004284
795, -0.004395,-0.006836,1.017090, -0.427246,0.061035,0.854492, 0.150038,4.801200,-36.159039, 0.999986,0.000583,0.001925,0.004908
895, -0.009766,-0.001465,1.001953, -0.793457,0.427246,0.427246, -1.800450,6.751688,-38.409603, 0.999982,-0.000134,0.002082,0.005574
995, -0.001953,0.000000,1.033203, -0.671387,0.427246,0.610352, 0.150038,4.801200,-37.509377, 0.999978,-0.000706,0.002209,0.006177
1095, 0.005371,0.000000,0.988770, -0.671387,0.183105,0.915527, -1.800450,3.900975,-38.409603, 0.999972,-0.001479,0.002158,0.006947
1195, -0.001953,0.000000,1.011230, -0.610352,0.244141,0.671387, -1.200300,3.450863,-39.159790, 0.999967,-0.001975,0.002376,0.007555
1295, -0.002441,-0.008301,1.005371, -0.610352,0.366211,0.549316, -1.500375,5.701426,-37.059265, 0.999961,-0.002464,0.002546,0.008134
1396, -0.004883,-0.004883,0.996094, -0.671387,0.366211,0.488281, -1.650413,4.801200,-37.959492, 0.999955,-0.002930,0.002657,0.008664
